last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95per-swing,ev95percent,barrels,brl_percent,brl_pa
Craig, Will,643269,3,8.2,66.7,100.8,91.6,97.9,79.1,382,248,,1,7.7,33.3,1,33.3,25.0
Blankenhorn, Travis,663905,3,41.2,33.3,108.8,89.3,93.3,,346,240,,1,11.1,33.3,1,33.3,25.0
Brown, Seth,664913,3,25.3,0.0,105.2,89,105.2,82,373,203,,1,11.1,33.3,1,33.3,20.0
Huff, Sam,669087,20,12.6,70.0,111.4,95.7,100.8,88.3,410,214,391,12,20.3,60.0,5,25.0,15.2
Dean, Austin,621573,2,26.8,50.0,111.5,99.7,99.7,,368,342,,1,7.1,50.0,1,50.0,14.3
Culberson, Charlie,518586,3,12,33.3,102,99.5,99.3,100.1,379,241,,3,16.7,100.0,1,33.3,14.3
Healy, Ryon,592387,5,13.5,40.0,100.4,81,95.2,65.2,361,153,,1,10.0,20.0,1,20.0,14.3
Ruiz, Keibert,660688,5,24.4,40.0,104.3,87.5,96.2,67.9,395,231,395,1,7.1,20.0,1,20.0,12.5
Tatis Jr., Fernando,665487,164,8.7,32.3,113.4,95.9,100.2,91.6,458,176,410,102,22.1,62.2,32,19.5,12.5
Seager, Corey,608369,177,11.9,38.4,113.1,93.2,98.3,86.3,447,195,411,99,22.0,55.9,28,15.8,12.1
Soto, Juan,665742,126,4.3,33.3,113.3,92.1,99.5,86.3,466,162,416,65,21.8,51.6,23,18.3,11.7
Jiménez, Eloy,650391,158,5.7,32.9,113.6,92.4,97.7,89.3,466,153,393,88,20.1,55.7,26,16.5,11.5
Marchan, Rafael,665561,6,10.5,50.0,99.6,92.2,90.8,95,364,195,364,3,16.7,50.0,1,16.7,11.1
Joseph, Caleb,543376,7,12.3,28.6,100.4,83.4,94.7,75,395,161,395,3,25.0,42.9,1,14.3,11.1
Hernández, Teoscar,606192,128,15.3,40.6,115.9,93.3,98.2,86.6,466,196,418,68,17.4,53.1,23,18.0,11.1
Sanó, Miguel,593934,96,20.2,31.3,115.8,95.2,101.3,91,458,205,412,55,13.4,57.3,22,22.9,10.7
Lowe, Brandon,664040,137,18.1,37.2,111.4,89.8,94.3,83.2,459,199,406,59,14.3,43.1,24,17.5,10.7
Harper, Bryce,547180,150,16,33.3,114.7,92.5,96,88.3,470,202,405,76,17.1,50.7,26,17.3,10.7
Davidson, Matt,571602,30,18.1,36.7,113.1,92.8,92.5,93,449,211,418,17,17.5,56.7,5,16.7,10.6
Belt, Brandon,474832,113,18,40.7,109.1,90.7,95.1,83.3,429,217,400,53,18.2,46.9,19,16.8,10.6
Chapman, Matt,656305,89,24.1,40.4,115.9,93.6,99,86.8,444,206,413,46,15.7,51.7,16,18.0,10.5
Higashioka, Kyle,543309,37,18.5,35.1,106.4,89.7,92.5,86.4,428,189,398,11,11.6,29.7,5,13.5,10.4
Perez, Salvador,521692,115,14.2,41.7,110.4,91,94.4,86.5,447,200,415,54,16.3,47.0,16,13.9,10.3
Walsh, Jared,665120,87,13.1,29.9,112.8,88.1,93.6,87,450,169,415,34,17.3,39.1,11,12.6,10.2
Taylor, Michael A.,572191,65,12.4,27.7,108.6,89,92.7,84.9,429,168,418,24,12.8,36.9,10,15.4,10.1
Goins, Ryan,572365,8,19.5,25.0,103,92.1,92,92.3,368,209,,3,21.4,37.5,1,12.5,10.0
Contreras, William,661388,6,18,83.3,104.9,84.6,84.9,83.3,353,227,,1,4.5,16.7,1,16.7,10.0
Abreu, José,547989,182,10.9,37.4,114,92.9,97.1,89.2,452,179,406,97,19.5,53.3,26,14.3,9.9
Freeman, Freddie,518692,177,17.2,49.2,109.3,92.4,96.1,88.1,443,208,409,96,19.5,54.2,26,14.7,9.9
Castellanos, Nick,592206,150,16.5,39.3,108.5,91,95,86.2,433,202,409,70,14.0,46.7,24,16.0,9.9
Moreland, Mitch,519048,104,12.5,31.7,110.1,88.2,93.9,82,427,175,397,42,15.7,40.4,15,14.4,9.9
Dalbec, Bobby,666915,41,14.8,36.6,110.4,89.9,99.8,79.1,449,199,399,18,9.7,43.9,9,22.0,9.8
Soler, Jorge,624585,90,15.5,36.7,114,92.5,98,87.2,448,184,410,46,16.3,51.1,17,18.9,9.8
Osuna, José,591741,62,14.7,37.1,110,89.1,93.3,85,429,192,385,26,16.3,41.9,8,12.9,9.8
Taylor, Tyrone,621438,30,14.1,30.0,105.1,87.3,95.7,81.7,423,176,421,13,17.8,43.3,4,13.3,9.8
Ozuna, Marcell,542303,169,16.4,39.1,115.6,93,96.6,89,469,191,429,92,18.5,54.4,26,15.4,9.7
Ríos, Edwin,621458,59,14.5,40.7,110.8,91.5,96.6,83.6,434,208,400,27,18.4,45.8,8,13.6,9.6
Trevino, Jose,624431,64,10.1,31.3,106.7,87.9,95.5,82.3,393,170,379,26,20.0,40.6,8,12.5,9.6
Myers, Wil,571976,142,13.4,40.8,109.2,91,94.6,87.2,445,194,407,65,18.5,45.8,21,14.8,9.6
Buxton, Byron,621439,96,23.6,25.0,111.9,91.2,96.8,86.6,442,188,409,46,16.2,47.9,13,13.5,9.6
Gyorko, Jedd,576397,81,15.3,35.8,108,88.6,95.1,83.4,423,181,396,35,14.6,43.2,13,16.0,9.6
Cron, C.J.,543068,26,20.6,34.6,112,85.5,97.6,76.9,447,178,396,9,9.1,34.6,5,19.2,9.6
Stanton, Giancarlo,519317,49,8.3,38.8,121.3,91.1,97.4,89,483,157,439,25,16.7,51.0,9,18.4,9.6
Cordero, Franchy,614173,34,-1.1,35.3,111.8,91.2,95.1,88.7,430,136,427,16,18.0,47.1,4,11.8,9.5
Sánchez, Yolmer,570560,11,12.4,36.4,102.3,90.7,95.8,84.7,383,193,383,6,20.0,54.5,2,18.2,9.5
Rooker, Brent,667670,14,5.4,57.1,112.2,89.1,98.8,71.6,390,178,390,7,15.9,50.0,2,14.3,9.5
Bichette, Bo,666182,96,12,37.5,109.2,89.2,95.9,84.5,435,178,404,39,14.5,40.6,12,12.5,9.4
Trout, Mike,545361,147,23.1,36.1,112.9,93.7,96.1,91.5,449,220,413,81,21.6,55.1,22,15.0,9.1
Jones, Taylor,622100,14,15.6,21.4,105.8,91.9,93.3,90.5,405,188,405,6,11.3,42.9,2,14.3,9.1
Duvall, Adam,594807,137,22.9,30.7,114.2,88.1,94.4,79,450,203,397,55,14.1,40.1,19,13.9,9.1
Smith, Dominic,642086,135,10.8,43.0,110.7,89.8,94.9,83.1,441,180,403,63,16.0,46.7,18,13.3,9.0
Sánchez, Gary,596142,92,19.2,29.3,117.5,91.8,99,85.9,457,189,405,46,13.6,50.0,16,17.4,9.0
Voit, Luke,572228,160,15.2,37.5,111.7,88.9,95.9,82.2,437,178,397,64,13.5,40.0,21,13.1,9.0
Stewart, DJ,621466,52,17.8,28.8,107.8,91.4,97.9,87.8,415,162,386,24,10.0,46.2,10,19.2,8.9
Cruz, Nelson,443558,127,9.4,39.4,114.4,91.6,98,86.1,448,169,417,60,14.9,47.2,19,15.0,8.9
Smith, Will,669257,93,24.2,41.9,108.8,90.8,94.5,81.3,439,219,395,44,18.9,47.3,12,12.9,8.8
Realmuto, J.T.,592663,125,11.6,32.8,112.4,90.2,95.5,87.2,431,164,397,53,15.8,42.4,17,13.6,8.7
Slater, Austin,596103,64,10.9,45.3,109.1,89.2,90.9,87.9,400,182,392,29,16.3,45.3,9,14.1,8.7
Hoskins, Rhys,656555,108,24.8,32.4,111.2,89.8,93.9,85.7,421,199,393,46,14.4,42.6,16,14.8,8.6
Longoria, Evan,446334,157,10.7,29.9,111.5,91.7,95.9,88.7,432,165,401,71,19.9,45.2,18,11.5,8.6
Springer, George,543807,153,18.3,35.3,115,88.7,94.3,85.1,455,188,412,65,16.6,42.5,19,12.4,8.6
Braun, Ryan,460075,103,15.3,35.9,110.2,89.8,92.6,90.3,426,175,397,42,16.2,40.8,12,11.7,8.5
Moran, Colin,592567,127,8.3,32.3,112,91.9,96.6,89.9,450,147,410,60,14.9,47.2,17,13.4,8.5
Gurriel Jr., Lourdes,666971,162,10.5,39.5,109.5,90.8,93.9,88.2,447,170,402,80,18.8,49.4,19,11.7,8.5
Zunino, Mike,572287,38,27,36.8,113.7,88.2,97.8,67,428,205,414,15,8.4,39.5,7,18.4,8.3
Davis, Jaylin,664041,6,19.4,33.3,111.3,102,101.8,102.4,374,204,374,5,18.5,83.3,1,16.7,8.3
Machado, Manny,592518,191,15.6,34.6,115.7,90.2,94.1,88.2,436,179,413,83,19.0,43.5,21,11.0,8.3
McBroom, Ryan,643436,51,20.1,29.4,108.2,89,90.5,87.8,430,198,414,16,9.7,31.4,7,13.7,8.2
Suárez, Eugenio,553993,132,17.8,28.8,111.4,89.1,94.4,84.1,434,195,404,59,14.1,44.7,19,14.4,8.2
Grichuk, Randal,545341,169,12.6,27.2,110.9,88.9,95.9,84.1,428,166,393,67,15.2,39.6,19,11.2,8.2
Díaz, Elias,553869,53,12.9,34.0,110.1,87.4,94,84.5,408,172,399,22,15.7,41.5,6,11.3,8.2
Moore, Dylan,664238,94,17.3,39.4,109.8,90.4,95,85.5,436,191,398,42,15.4,44.7,13,13.8,8.2
Devers, Rafael,646240,165,10.6,33.3,116.7,93,94.7,91.5,449,173,414,72,13.5,43.6,20,12.1,8.1
Jeffers, Ryan,680777,36,10.3,27.8,112.9,91.6,99.4,87.1,437,154,428,15,14.3,41.7,5,13.9,8.1
Turner, Justin,457759,125,17.5,40.8,107.8,90.3,93.1,87,436,205,403,55,18.8,44.0,14,11.2,8.0
Alonso, Pete,624413,148,15.5,30.4,118.4,90.2,96.3,86.5,456,176,405,61,14.3,41.2,19,12.8,7.9
Acuña Jr., Ronald,660670,100,18.6,34.0,114.8,92.4,99.5,84.9,495,207,414,57,16.1,57.0,16,16.0,7.9
Arozarena, Randy,668227,43,9.2,32.6,113.1,90.3,96.8,86.1,431,159,393,19,14.0,44.2,6,14.0,7.9
Forsythe, Logan,523253,22,13.9,45.5,103.6,89.6,97.5,82.6,410,167,410,8,16.0,36.4,3,13.6,7.9
Lowe, Nathaniel,663993,39,7.1,41.0,114.8,88.9,94.9,82,420,165,391,17,14.3,43.6,6,15.4,7.9
Smith, Kevan,607345,20,1.6,40.0,109.5,85.8,99.7,77,426,150,426,8,11.1,40.0,3,15.0,7.9
Reyes, Franmil,614177,147,11.2,31.3,114.7,92.4,97.5,89.4,462,161,422,66,14.6,44.9,19,12.9,7.9
Santander, Anthony,623993,128,24.7,40.6,113.2,88.6,92.1,87.8,426,205,388,47,15.3,36.7,13,10.2,7.9
Harrison, Monte,656509,21,4,42.9,112.6,81.7,96,72.3,403,136,403,6,6.9,28.6,4,19.0,7.8
